Date,Open,High,Low,Close,Volume
2018-01-02,39.93399025163347,40.43621588001568,39.722771657019194,40.42682647705078,102223600
2018-01-03,40.490186919853265,40.964251437036,40.356418384321046,40.41978073120117,118071600
2018-01-04,40.492527990410416,40.710786792933035,40.384574949985684,40.60752487182617,89738400
2018-01-05,40.703746889925426,41.156686997562645,40.612219928324755,41.069854736328125,94640000
2018-01-08,40.917320251464844,41.213021983305815,40.8187494265099,40.917320251464844,82271200
2018-01-09,40.964251510804274,41.083939525023105,40.69671085825055,40.912620544433594,86336000
2018-01-10,40.638048633487585,40.90558934530854,40.60049818035278,40.90324020385742,95839600
2018-01-11,40.97363356641674,41.18485211334439,40.950167226318456,41.13556671142578,74670800
2018-01-12,41.3467957753796,41.623725898618915,41.22241302932559,41.560359954833984,101672400
2018-01-16,41.750441705983256,42.10012349135835,41.33739757680099,41.3491325378418,118263600
2018-01-17,41.33976554774828,42.0672905545969,41.0863088731008,42.03208923339844,137547200
2018-01-18,42.0954375270394,42.266760115574634,41.83259153401056,42.06962203979492,124773600
2018-01-19,41.91706393777589,42.14470854361538,41.63544281559508,41.88186264038086,129700400
2018-01-22,41.60963271688216,41.722280464117354,41.44535400612098,41.53922653198242,108434400
2018-01-23,41.609642510426376,42.11186816210788,41.49699473667759,41.548622131347656,130756400
2018-01-24,41.597905380444125,41.60964034357955,40.64743066260191,40.886810302734375,204420400
2018-01-25,40.95487171893902,41.058133675910234,40.020826566259224,40.156944274902344,166116000
2018-01-26,40.36580943959557,40.36580943959557,39.91052008574584,40.25081253051758,156572000
2018-01-29,39.93398878050645,39.93398878050645,39.20881320203056,39.41768264770508,202561600
2018-01-30,38.84739402787731,39.279213415752686,38.6526051170296,39.185340881347656,184192800
2018-01-31,39.16187382377497,39.53033088935035,39.07504154404407,39.293296813964844,129915600
2018-02-01,39.23228073447791,39.57257317905928,39.13605905026289,39.37543869018555,188923200
2018-02-02,38.957702208902234,39.145450887556414,37.57306241821802,37.666934967041016,346375200
2018-02-05,37.33837701496789,38.460170790615834,36.6108522368327,36.72584915161133,290954000
2018-02-06,36.33626920112963,38.422618146423986,36.141480273828954,38.260684967041016,272975200
2018-02-07,38.27476351616194,38.34751526986964,37.33133269703871,37.44163131713867,206434400
2018-02-08,37.61765378986397,37.78428170095919,36.383212086809394,36.411373138427734,217562000
2018-02-09,37.01224818986412,37.2054725383978,35.402814745410176,36.85672378540039,282690400
2018-02-12,37.34921338840289,38.61932214150914,37.11592678638475,38.34126663208008,243278000
2018-02-13,38.16218480046921,38.82198249059951,38.09149154873951,38.72536849975586,130196800
2018-02-14,38.41902485300839,39.47941260422183,38.381324910071264,39.439353942871094,162579600
2018-02-15,40.009615319931726,40.7872338950908,39.82345990009944,40.763671875,204588800
2018-02-16,40.61521699774737,41.19489735366418,40.47618921168071,40.631710052490234,160704400
